,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
0,USA,5033723,1544,162836,32,2577914,1246,2292973,18296,15199,492,63143252,190651,331198144,66,2034,5,North America
1,Brazil,2917562,0,98644,0,2047660,0,771258,8318,13716,464,13206188,62085,212710688,73,2156,16,South America
2,India,2035337,9928,41713,75,1382471,5087,611153,8944,1473,30,22788392,16497,1381345024,679,33115,61,Asia
3,Russia,877135,5241,14725,119,683592,7235,178818,2300,6010,101,30038124,205824,145940928,166,9911,5,Europe
4,South Africa,538184,0,9604,0,387316,0,141264,539,9063,162,3149807,53044,59381568,110,6183,19,Africa
5,Mexico,462690,6590,50517,819,308848,4140,103325,3987,3585,391,1056915,8189,129066160,279,2555,122,North America
6,Peru,455409,0,20424,0,310337,0,124648,1426,13793,619,2493429,75521,33016320,72,1617,13,South America
7,Chile,366671,0,9889,0,340168,0,16614,1358,19165,517,1760615,92022,19132514,52,1935,11,South America
8,Colombia,357710,0,11939,0,192355,0,153416,1493,7023,234,1801835,35374,50936264,142,4266,28,South America
9,Spain,354530,0,28500,0,0,0,0,617,7582,610,7064329,151087,46756648,132,1641,7,Europe
10,Iran,322567,2450,18132,156,279724,2261,24711,4136,3836,216,2637575,31363,84097624,261,4638,32,Asia
11,UK,308134,0,46413,0,0,0,0,73,4537,683,17515234,257873,67922032,220,1463,4,Europe
12,Saudi Arabia,285793,1567,3093,38,248948,1859,33752,1892,8197,89,3694004,105949,34865920,122,11273,9,Asia
13,Pakistan,282645,782,6052,17,258099,2041,18494,826,1277,27,2079333,9396,221295856,783,36566,106,Asia
14,Bangladesh,252502,2851,3333,27,145584,1760,103585,0,1532,20,1237823,7509,164851408,653,49460,133,Asia
15,Italy,249204,0,35187,0,201323,0,12694,42,4122,582,7099713,117443,60452568,243,1718,9,Europe
16,Turkey,237265,0,5798,0,220546,0,10921,580,2810,69,5081802,60191,84428328,356,14562,17,Asia
17,Argentina,228195,0,4251,0,99852,0,124092,1150,5044,94,794544,17564,45236884,198,10641,57,South America
18,Germany,215210,0,9252,0,196200,0,9758,236,2568,110,8586648,102452,83811264,389,9059,10,Europe
19,France,195633,0,30312,0,82460,0,82861,384,2996,464,3992206,61147,65288304,334,2154,16,Europe
